,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
117,7532,285,362,663,44.35,I,0.44049459,0.55950541
204,7856,380,483,875,53.13,I,0.44032445,0.55967555
141,7621,130,166,303,36.03,I,0.439189189,0.560810811
174,7806,345,441,804,54.14,I,0.438931298,0.561068702
4,1106,240,307,571,40.41,I,0.438756856,0.561243144
175,7808,302,388,714,52.54,I,0.437681159,0.562318841
87,7326,161,207,387,51.13,I,0.4375,0.5625
38,7016,252,327,607,35.39,I,0.435233161,0.564766839
83,7321,120,156,296,49.42,I,0.434782609,0.565217391
19,1134,123,160,298,43,I,0.434628975,0.565371025
125,7552,144,188,346,50.43,I,0.43373494,0.56626506
324,9407,134,175,329,39.4,I,0.433656958,0.566343042
8,1114,245,320,586,39.38,I,0.433628319,0.566371681
267,9123,282,369,679,41.89,I,0.433179724,0.566820276
85,7323,154,202,370,51.68,I,0.43258427,0.56741573
91,7333,166,218,407,47.83,I,0.432291667,0.567708333
58,7047,137,180,330,43.53,I,0.432176656,0.567823344
322,9405,140,185,339,46.83,I,0.430769231,0.569230769
30,7003,341,451,811,51.13,I,0.430555556,0.569444444
184,7823,195,258,469,57.27,I,0.430463576,0.569536424
364,9704,353,469,847,48.1,I,0.429440389,0.570559611
249,7953,227,302,551,42.68,I,0.429111531,0.570888469
6,1111,136,181,328,37.88,I,0.429022082,0.570977918
277,9137,312,416,785,46.12,I,0.428571429,0.571428571
73,7303,368,495,915,52.68,I,0.426419467,0.573580533
350,9501,20,27,50,35.71,I,0.425531915,0.574468085
185,7824,274,370,661,50.92,I,0.425465839,0.574534161
5,1109,284,385,699,42.97,I,0.4245142,0.5754858
394,9752,292,396,708,52.33,I,0.424418605,0.575581395
69,7207,95,129,229,42.81,I,0.424107143,0.575892857
397,9801,72,98,173,43.36,I,0.423529412,0.576470588
9,1115,221,301,558,35.05,I,0.423371648,0.576628352
128,7555,317,432,769,52.81,I,0.423230975,0.576769025
200,7845,168,229,417,51.36,I,0.423173804,0.576826196
386,9738,121,165,305,43.76,I,0.423076923,0.576923077
273,9133,183,255,465,49.26,I,0.417808219,0.582191781
206,7861,363,506,877,52.45,I,0.417721519,0.582278481
257,9103,289,403,741,42.61,I,0.417630058,0.582369942
260,9109,310,433,783,47.83,I,0.417227456,0.582772544
253,7958,40,56,105,41.34,I,0.416666667,0.583333333
162,7701,183,258,450,50.79,I,0.414965986,0.585034014
251,7956,100,141,256,38.85,I,0.414937759,0.585062241
40,7021,217,306,551,32.84,I,0.414913958,0.585086042
89,7331,177,250,448,57.22,I,0.414519906,0.585480094
81,7318,295,417,751,50.54,I,0.414325843,0.585674157
344,9443,298,423,760,44.29,I,0.41331484,0.58668516
333,9423,295,420,755,43.92,I,0.412587413,0.587412587
264,9117,286,408,719,45.65,I,0.412103746,0.587896254
86,7325,147,210,382,47.57,I,0.411764706,0.588235294
